,charge,label
270,1.4607205,Standard
271,1.4935709,Standard
272,0.54345703,Standard
273,1.5854492,Standard
274,1.4814453,Standard
275,0.7371419,Standard
276,1.0219727,Standard
277,1.3224555,Standard
278,0.7819553,Standard
279,0.6053331,Standard
280,0.74072266,Standard
281,1.5193685,Standard
282,2.2037218,Standard
283,0.73828125,Standard
284,1.8001302,Standard
285,4.355062,Standard
286,1.8866916,Standard
287,1.0850424,Standard
288,0.8194987,Standard
289,2.3160264,Standard
290,3.4854872,Standard
291,1.8161349,Standard
292,1.8609213,Standard
293,1.2304959,Standard
294,3.133138,Standard
295,1.9636773,Standard
296,1.9278158,Standard
297,1.1079102,Standard
298,1.6592882,Standard
299,0.94349504,Standard
300,1.4440918,Standard
301,1.8606229,Standard
302,0.43088108,Standard
303,1.3179253,Standard
304,1.2446289,Standard
305,4.8208823,Standard
306,1.2791884,Standard
307,2.4498699,Standard
308,1.8935004,Standard
309,2.9455566,Standard
310,1.6550565,Standard
311,1.6566026,Standard
312,0.64171004,Standard
313,5.5090876,Standard
314,0.989936,Standard
315,3.488878,Standard
316,1.4510092,Standard
317,1.1391602,Standard
318,1.468967,Standard
319,1.2419705,Standard
320,1.7424859,Standard
321,1.8720703,Standard
322,4.1494412,Standard
323,0.8030599,Standard
324,3.3015137,Standard
325,1.137858,Standard
326,2.5416667,Standard
327,4.267144,Standard
328,2.3676758,Standard
329,1.4808486,Standard
330,4.449137,Standard
331,1.5209147,Standard
332,1.9857856,Standard
333,3.0743544,Standard
334,2.7163358,Standard
335,1.6520454,Standard
336,0.84016925,Standard
337,1.3948568,Standard
338,0.98117405,Standard
339,2.0472548,Standard
340,0.8673503,Standard
341,2.6917317,Standard
342,1.4671224,Standard
343,1.0579427,Standard
344,1.4667426,Standard
345,12.941487,Standard
346,1.952691,Standard
347,2.4369304,Standard
348,4.563558,Standard
349,0.9979384,Standard
350,0.47121853,Standard
351,1.7976617,Standard
352,0.8051758,Standard
353,0.9433594,Standard
354,3.7460124,Standard
355,2.241048,Standard
356,2.0671115,Standard
357,1.2127279,Standard
358,2.8562284,Standard
359,2.2724066,Standard
360,2.0226238,Standard
361,1.7105035,Standard
362,1.4355469,Standard
363,1.4472656,Standard
364,2.202447,Standard
365,63.046036,Standard
366,3.7671711,Standard
367,0.8752984,Standard
368,3.2075195,Standard
369,1.8631998,Standard
370,1.06977,Standard
371,1.4412978,Standard
372,20.002686,Standard
373,1.2901475,Standard
374,1.9816623,Standard
375,2.5890841,Standard
376,1.9953341,Standard
377,2.133762,Standard
378,2.1563585,Standard
379,2.6059027,Standard
380,0.2323405,Standard
381,2.897678,Standard
382,0.9785156,Standard
383,0.35986328,Standard
384,7.1362576,Standard
385,1.1333822,Standard
386,8.515218,Standard
387,3.2529569,Standard
388,1.1651475,Standard
389,1.1736654,Standard
390,0.4229058,Standard
391,1.0872396,Standard
392,2.0624728,Standard
393,2.4430609,Standard
394,0.9861111,Standard
395,1.0649686,Standard
396,1.1017524,Standard
397,2.774631,Standard
398,1.2316895,Standard
399,0.80547416,Standard
400,0.8857422,Standard
401,0.7713759,Standard
402,3.5799425,Standard
403,46.468613,Standard
404,3.3653972,Standard
405,0.9237739,Standard
406,1.078125,Standard
407,4.051351,Standard
408,1.0315484,Standard
409,1.7008463,Standard
410,1.2496202,Standard
411,3.0107422,Standard
412,1.5402832,Standard
413,1.3027616,Standard
414,7.401476,Standard
415,2.3083224,Standard
416,2.249593,Standard
417,1.2300619,Standard
418,2.1420627,Standard
419,2.8387315,Standard
420,1.131212,Standard
421,1.0374349,Standard
422,5.016656,Standard
